brand,model,year,head_weight_g,dimension,vcog,moi,rcog,loft,adj_vcog,vcog_cf,cf_1,cf_2,points,mpf,category,iron_number,source_pdf
MALTBY,Logic Kidz Professional,2000,248,1.512,0.770,14.81518,0.650,36,-0.066,.704,0,44,852,882,Ultra Game Improvement,,MPF_MALTBY.pdf
CLEVELAND,LAUNCHER LP #6,2006,262,1.533,.791,13.56,.562,29,-.068,.723,0,41,851,881,Ultra Game Improvement,6,MPF_CLEVELAND.pdf
TOSKI,Target TS60 Hybrid #6,2008,262.5,1.555,0.830,14.3583,0.621,30,-0.082,0.748,0,43,850,880,Ultra Game Improvement,6,MPF_TOSKI.pdf
COBRA,King Cobra S9 Ladies #7,2006,263,1.511,0.820,14.2975,0.701,33,-0.115,.705,0,43,849,879,Ultra Game Improvement,7,MPF_COBRA.pdf
GOLFWORKS,DM Pro Steel,2004,253,1.477,0.786,13.00000,0.600,26,-0.106,.680,0,52,849,879,Ultra Game Improvement,,MPF_GOLFWORKS.pdf
NICKLAUS,Polarity MTR #6,2008,263.0,1.614,0.797,16.3361,0.440,29,0.001,0.798,0,33,849,879,Ultra Game Improvement,6,MPF_NICKLAUS.pdf
CALLAWAY,Rogue #6,2018,262.7,1.614,0.813,13.7769,.481,26,-0.037,.794,0,28,848,878,Ultra Game Improvement,6,MPF_CALLAWAY.pdf
MALTBY,L Tech-High Lanch Design (Womens) #6,2011,267.4,1.463,0.716,13.4542,0.537,33,-0.047,.669,0,54,848,878,Ultra Game Improvement,6,MPF_MALTBY.pdf
PING,III,1977,256,1.522,0.811,13.87940,0.600,27,-0.095,.716,0,42,848,878,Ultra Game Improvement,,MPF_PING.pdf
TITLEIST,T300 #6,2021,258.7,1.551,0.796,14.8903,0.485,26,-0.047,0.749,0,45,847,877,Ultra Game Improvement,6,MPF_TITLEIST.pdf
TAYLORMADE,Qi #6,2024,258.3,1.487,0.798,14.1442,0.579,24,-0.100,.698,0,57,846,876,Ultra Game Improvement,6,MPF_TAYLORMADE.pdf
COBRA,King Cobra S9 Senior #7,2006,263,1.515,0.820,14.3941,0.692,33,-0.104,.716,0,43,842,872,Ultra Game Improvement,7,MPF_COBRA.pdf
MALTBY,MXO Xtreme,2004,255,1.380,0.790,14.74620,0.750,27,-0.177,.613,0,74,841,871,Ultra Game Improvement,,MPF_MALTBY.pdf
MIZUNO,JPX 800 HD #6,2012,260,1.504,0.856,14.77810,0.735,28,-0.149,.707,0,44,841,871,Ultra Game Improvement,6,MPF_MIZUNO.pdf
GOLFWORKS,CER 851HS Hybrid System #6,2010,260.1,1.523,.837,14.2727,.665,29,-.111,.726,0,43,840,870,Ultra Game Improvement,6,MPF_GOLFWORKS.pdf
CALLAWAY,Great Big Bertha 23 #6,2023,258.2,1.515,0.810,11.4913,0.601,26.5,-0.100,.710,0,34,839,869,Ultra Game Improvement,6,MPF_CALLAWAY.pdf
MALTBY,RDM Recoil (hollow),2002,250,1.520,0.780,15.57051,0.500,27,-0.052,.728,0,47,839,869,Ultra Game Improvement,,MPF_MALTBY.pdf
CALLAWAY,Big Bertha #6,2015,256.5,1.544,0.854,12.7119,0.624,26,-0.109,.745,0,38,837,867,Ultra Game Improvement,6,MPF_CALLAWAY.pdf
GOLFWORKS,DM pro Steel 2 #6 (Black Back),2010,255.6,1.538,.815,13.8627,.545,26,-.072,.743,0,42,837,867,Ultra Game Improvement,6,MPF_GOLFWORKS.pdf
BROWNING,440 #6,1977,261,1.371,0.710,12.41900,0.625,32,-0.113,.597,0,62,836,866,Ultra Game Improvement,6,MPF_BROWNING.pdf
