brand,model,year,mpf,category,category_by_score,iron_number,source
TITLEIST,T300 #6,2020,895,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
GOLFWORKS,851 HS Hybrid Series #5,2007,894,Ultra Game Improvement,Ultra Game Improvement,5,GolfWorks Maltby Playability Factor
GOLFWORKS,DM Pro Steel Stainless #6,2007,894,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
PING,K15 Ti Face #6,2011,894,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
NICKENT,6DX Tungsten #6,2011,893,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,L-Tech LT #6,2015,892,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
CALLAWAY,Steelhead X-14 Pro,2002,891,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
MALTBY,RDM Recoil,2006,889,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
GOLFWORKS,DM Pro Steel 2 (Yellow Back) #5,2009,888,Ultra Game Improvement,Ultra Game Improvement,5,GolfWorks Maltby Playability Factor
CLEVELAND,Zipcore XL #7,2025,887,Ultra Game Improvement,Ultra Game Improvement,7,GolfWorks Maltby Playability Factor
COBRA,King F9 Speedback #6,2019,887,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,Logic Pro Forged,2000,886,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
COBRA,S3 Max #6,2011,885,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
MACGREGOR,The Doctor RX #5,1993,884,Ultra Game Improvement,Ultra Game Improvement,5,GolfWorks Maltby Playability Factor
MALTBY,KE4 Tour,2007,884,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
COBRA,F-Max SuperLite #6,2019,883,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,Adapt DS #6,2025,882,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,Logic Kidz Professional,2000,882,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
CLEVELAND,Launcher LP #6,2006,881,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
GOLFWORKS,CER OS,2008,881,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
TOSKI,Target TS60 Hybrid,2008,880,Ultra Game Improvement,Ultra Game Improvement,hybrid,GolfWorks Maltby Playability Factor
COBRA,King Cobra S9 Ladies’ #7,2006,879,Ultra Game Improvement,Ultra Game Improvement,7,GolfWorks Maltby Playability Factor
GOLFWORKS,DM Pro Steel,2004,879,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
NICKLAUS,Polarity MTR #6,2008,879,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
CALLAWAY,Rogue #6,2018,878,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,LTech High Launch Women’s #6,2011,878,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
PING,III,1977,878,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
TITLEIST,T300 #6,2021,877,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
TAYLORMADE,Qi #6,2024,876,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,King Cobra S9 Senior #7,2006,872,Ultra Game Improvement,Ultra Game Improvement,7,GolfWorks Maltby Playability Factor
COBRA,King Cobra SS-i #6,2004,871,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,MXO Xtreme,2004,871,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
MIZUNO,JPX 800 HD #6,2012,871,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
GOLFWORKS,CER 851HS Hybrid System #6,2010,870,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
CALLAWAY,Great Big Bertha 23 #6,2023,869,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,RDM Recoil (hollow),2002,869,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
CALLAWAY,Big Bertha #6,2015,867,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
GOLFWORKS,DM Pro Steel 2 (Black Back) #6,2010,867,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
BROWNING,440 #6,1977,866,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
CALLAWAY,X Hot #6,2013,866,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,KE4 Tour #6,2012,866,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,Tour+ #6,2015,866,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
MAXFLI,XC3 Forged #6,2025,866,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,King SZ One #6,2020,865,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
