brand,model,year,mpf,category,tier,vs_P770_gamer,vs_X20Tour_best,fit_score,in_pref_band,loft,moi,vcog,head_weight_g
CALLAWAY,Max X Forged #6,2026.0,531,Conventional,D - outside preferred range,-36,-185,15.5,False,27.0,12.6395,0.817,258.3
CALLAWAY,Great Big Bertha 23 #6,2023.0,869,Ultra Game Improvement,D - outside preferred range,302,153,15.5,False,26.5,11.4913,0.81,258.2
CALLAWAY,Apex Forged Ai200 #6,2025.0,526,Conventional,D - outside preferred range,-41,-190,13.0,False,26.0,13.2745,0.889,262.2
TAYLORMADE,Qi #6,2024.0,876,Ultra Game Improvement,D - outside preferred range,309,160,12.0,False,24.0,14.1442,0.798,258.3
COBRA,Adapt DS #6,2025.0,882,Ultra Game Improvement,D - outside preferred range,315,166,9.0,False,24.0,12.8287,0.773,258.0
PING,Blueprint S #6,2024.0,513,Conventional,D - outside preferred range,-54,-203,6.5,False,29.0,12.8464,0.801,254.8
SRIXON,ZXi7 Forged #6,2025.0,507,Conventional,D - outside preferred range,-60,-209,3.5,False,28.0,12.1861,0.784,260.0
MIZUNO,M-13 #6,2026.0,506,Conventional,D - outside preferred range,-61,-210,3.0,False,28.0,12.1274,0.833,253.7
MIZUNO,Pro 243 #6,2024.0,505,Conventional,D - outside preferred range,-62,-211,2.5,False,28.0,12.2869,0.822,255.5
CALLAWAY,X Forged #6,2026.0,503,Conventional,D - outside preferred range,-64,-213,1.5,False,29.0,11.7009,0.769,259.9
MALTBY,M980 #6,2026.0,985,Ultra Game Improvement,D - outside preferred range,418,269,0.0,False,28.0,15.4717,0.779,265.5
COBRA,King Max 3DP #6,2026.0,936,Ultra Game Improvement,D - outside preferred range,369,220,0.0,False,26.0,12.8229,0.751,258.0
CALLAWAY,Apex Forged Ai300 #6,2025.0,483,Conventional,D - outside preferred range,-84,-233,0.0,False,25.0,13.6158,0.885,258.6
MIZUNO,Pro S3 #6,2025.0,465,Conventional,D - outside preferred range,-102,-251,0.0,False,30.0,11.8351,0.785,255.8
PING,i240 #6,2025.0,431,Conventional,D - outside preferred range,-136,-285,0.0,False,30.0,15.8352,0.868,257.0
SRIXON,Z-Forged II #6,2025.0,426,Conventional,D - outside preferred range,-141,-290,0.0,False,29.0,12.2878,0.791,257.8
MIZUNO,S1 Forged #6,2025.0,364,Classic,D - outside preferred range,-203,-352,0.0,False,30.0,11.3927,0.805,257.5
CALLAWAY,Apex CB Forged 24 #6,2024.0,486,Conventional,D - outside preferred range,-81,-230,0.0,False,30.0,12.4035,0.792,260.6
PING,i530 #6,2024.0,480,Conventional,D - outside preferred range,-87,-236,0.0,False,25.0,16.0887,0.877,258.6
CALLAWAY,Apex MB Forged 24 #6,2024.0,470,Conventional,D - outside preferred range,-97,-246,0.0,False,30.0,12.1334,0.807,260.8
TAKOMO,301 CB #6,2024.0,430,Conventional,D - outside preferred range,-137,-286,0.0,False,,,,
MIZUNO,Pro 241 #6,2024.0,410,Conventional,D - outside preferred range,-157,-306,0.0,False,30.0,10.9245,0.791,255.0
PING,Blueprint T #6,2024.0,386,Classic,D - outside preferred range,-181,-330,0.0,False,30.0,11.8584,0.82,260.0
TAKOMO,Iron 201 #6,2024.0,349,Classic,D - outside preferred range,-218,-367,0.0,False,,,,
CALLAWAY,Apex Pro Forged 24 #6,2024.0,239,Players Classic,D - outside preferred range,-328,-477,0.0,False,29.0,11.6776,0.913,254.4
